 ,Rxns,Reactions,Gene-Protein Rules,Lower Bound,Upper Bound
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate <=> 3-(Imidazol-4-yl)-2-oxopropyl phosphate + H2O,eig3p[c]  <=> h2o[c] + imacp[c] ,MCON_0300 | MCON_0505,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,Phosphoribosyl-AMP + H2O <=> 5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide,h2o[c] + prbamp[c]  <=> 55pdriboamform15priboimidaz4carbamd[c] ,MCON_1969,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide + L-Glutamine <=> D-erythro-1-(Imidazol-4-yl)glycerol 3-phosphate + 1-(5'-Phosphoribosyl)-5-amino-4-imidazolecarboxamide + L-Glutamate,gln_L[c] + n5pd1ribu5am15pdribo4imidazcarbamd[c]  <=> glu_L[c] + eig3p[c] + aicar[c] ,MCON_0619 | MCON_3300 | MCON_3301,-20,20
rn00340 Histidine metabolism; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids,5-(5-Phospho-D-ribosylaminoformimino)-1-(5-phosphoribosyl)-imidazole-4-carboxamide <=> N-(5'-Phospho-D-1'-ribulosylformimino)-5-amino-1-(5''-phospho-D-ribosyl)-4-imidazolecarboxamide,55pdriboamform15priboimidaz4carbamd[c]  <=> n5pd1ribu5am15pdribo4imidazcarbamd[c] ,MCON_0301 | MCON_2256,-20,20
rn00360 Phenylalanine metabolism,L-Phenylalanine <=> Phenethylamine + CO2,phe_L[c]  <=> co2[c] + peamn[c] ,MCON_0966,-20,20
rn00360 Phenylalanine metabolism,ATP + Phenylacetic acid + CoA <=> AMP + Diphosphate + Phenylacetyl-CoA,atp[c] + coa[c] + pac[c]  <=> ppi[c] + amp[c] + phaccoa[c] ,MCON_0819 | MCON_2332,-20,20
rn00380 Tryptophan metabolism,Formylanthranilate + H2O <=> Formate + Anthranilate,h2o[c] + nformanth[c]  <=> for[c] + anth[c] ,MCON_1407,-20,20
rn00380 Tryptophan metabolism,2 3-Hydroxyanthranilate + 4 Oxygen <=> Cinnavalininate + 2 Superoxide + 2 Hydrogen peroxide + 2 H+,4 o2[c] + 2 3hanthrn[c]  <=> 2 h2o2[c] + 2 h[c] + 2 o2s[c] + M01572[c] ,MCON_0161,-20,20
rn00380 Tryptophan metabolism,5-Hydroxy-L-tryptophan <=> Serotonin + CO2,5htrp[c]  <=> co2[c] + srtn[c] ,MCON_0966,-20,20
rn00380 Tryptophan metabolism,5-Hydroxykynurenamine + CO2 <=> 5-Hydroxykynurenine,co2[c] + 5hxkynam[c]  <=> 5hxkyn[c] ,MCON_0966,-20,20
rn00380 Tryptophan metabolism,5-Hydroxy-N-formylkynurenine + H2O <=> 5-Hydroxykynurenine + Formate,h2o[c] + 5hoxnfkyn[c]  <=> for[c] + 5hxkyn[c] ,MCON_1407,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites",L-Serine + Indole <=> L-Tryptophan + H2O,ser_L[c] + indole[c]  <=> h2o[c] + trp_L[c] ,MCON_2511 | MCON_1800 | MCON_1801,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites","L-Aspartate 4-semialdehyde + 6-Deoxy-5-ketofructose 1-phosphate <=> 2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid + Hydroxypyruvaldehyde phosphate",aspsa[c] + dkfp[c]  <=> hpyrualdhp[c] + adth[c] ,MCON_1478 | MCON_3321,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites","2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid + H2O + NAD+ <=> 3-Dehydroquinate + Ammonia + NADH + H+",h2o[c] + nad[c] + adth[c]  <=> nadh[c] + nh4[c] + h[c] + 3dhq[c] ,MCON_1239,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",L-Arogenate <=> L-Phenylalanine + H2O + CO2,Largn[c]  <=> h2o[c] + co2[c] + phe_L[c] ,MCON_2639,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",Chorismate + Ammonia <=> Anthranilate + Pyruvate + H2O,nh4[c] + chor[c]  <=> h2o[c] + pyr[c] + anth[c] ,MCON_1299 | MCON_1300,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",N-(5-Phospho-D-ribosyl)anthranilate + Diphosphate <=> Anthranilate + 5-Phospho-alpha-D-ribose 1-diphosphate,ppi[c] + pran[c]  <=> anth[c] + prpp[c] ,MCON_0565 | MCON_1297,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",Prephenate <=> Phenylpyruvate + H2O + CO2,pphn[c]  <=> h2o[c] + co2[c] + phpyr[c] ,MCON_2639,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",5-O-(1-Carboxyvinyl)-3-phosphoshikimate <=> Chorismate + Orthophosphate,3psme[c]  <=> pi[c] + chor[c] ,MCON_1507,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",Chorismate <=> Prephenate,chor[c]  <=> pphn[c] ,MCON_2644,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",ATP + Shikimate <=> ADP + Shikimate 3-phosphate,atp[c] + skm[c]  <=> adp[c] + skm5p[c] ,MCON_0363 | MCON_2645,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",Shikimate + NADP+ <=> 3-Dehydroshikimate + NADPH + H+,nadp[c] + skm[c]  <=> nadph[c] + h[c] + 3dhsk[c] ,MCON_3308,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",3-Dehydroquinate <=> 3-Dehydroshikimate + H2O,3dhq[c]  <=> h2o[c] + 3dhsk[c] ,MCON_1240,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",Phosphoenolpyruvate + Shikimate 3-phosphate <=> Orthophosphate + 5-O-(1-Carboxyvinyl)-3-phosphoshikimate,pep[c] + skm5p[c]  <=> pi[c] + 3psme[c] ,MCON_0229,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate <=> Indoleglycerol phosphate + CO2 + H2O,2cpr5p[c]  <=> h2o[c] + co2[c] + 3ig3p[c] ,MCON_1301,-20,20
"rn00400 Phenylalanine, tyrosine and tryptophan biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01230 Biosynthesis of amino acids",N-(5-Phospho-D-ribosyl)anthranilate <=> 1-(2-Carboxyphenylamino)-1-deoxy-D-ribulose 5-phosphate,pran[c]  <=> 2cpr5p[c] ,MCON_1298,-20,20
rn00450 Selenocompound metabolism,Hydrogen selenide + 3 NADP+ + 3 H2O <=> Selenite + 3 NADPH + 5 H+,3 h2o[c] + 3 nadp[c] + seln[c]  <=> 3 nadph[c] + 5 h[c] + selni[c] ,MCON_1435,-20,20
rn00450 Selenocompound metabolism,Selenohomocysteine + 5-Methyltetrahydropteroyltri-L-glutamate <=> L-Selenomethionine + Tetrahydropteroyltri-L-glutamate,mhpglu[c] + selhcys[c]  <=> hpglu[c] + selmeth[c] ,MCON_0168,-20,20
rn00450 Selenocompound metabolism,2 NADPH + 2 H+ + Methylselenic acid <=> 2 NADP+ + 2 H2O + Methaneselenol,2 nadph[c] + 2 h[c] + msele[c]  <=> 2 h2o[c] + 2 nadp[c] + M02469[c] ,MCON_1435,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01250 Biosynthesis of nucleotide sugars,UTP + N-Acetyl-alpha-D-glucosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-alpha-D-glucosamine,utp[c] + acgam1p[c]  <=> ppi[c] + uacgam[c] ,MCON_2572,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01250 Biosynthesis of nucleotide sugars,UDP-N-acetyl-alpha-D-glucosamine <=> UDP-N-acetyl-D-galactosamine,uacgam[c]  <=> udpacgal[c] ,MCON_1457 | MCON_1862 | MCON_3230 | MCON_1223,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01250 Biosynthesis of nucleotide sugars,"UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate <=> UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate",udpadglcn3naca[c]  <=> udpadmann3naca[c] ,MCON_2577,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01250 Biosynthesis of nucleotide sugars,"Acetyl-CoA + UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate <=> CoA + UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate",accoa[c] + udp2acet3am23ddaglcu[c]  <=> coa[c] + udpadglcn3naca[c] ,MCON_2575,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn01250 Biosynthesis of nucleotide sugars,Acetyl-CoA + alpha-D-Glucosamine 1-phosphate <=> CoA + N-Acetyl-alpha-D-glucosamine 1-phosphate,accoa[c] + acgam1p[c]  <=> coa[c] + acgam1p[c] ,MCON_2572,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn01250 Biosynthesis of nucleotide sugars,UTP + N-Acetyl-alpha-D-galactosamine 1-phosphate <=> Diphosphate + UDP-N-acetyl-D-galactosamine,utp[c] + acgal1p[c]  <=> ppi[c] + udpacgal[c] ,MCON_2572,-20,20
rn00520 Amino sugar and nucleotide sugar metabolism; rn01250 Biosynthesis of nucleotide sugars,Acetyl-CoA + alpha-D-Galactosamine 1-phosphate <=> CoA + N-Acetyl-alpha-D-galactosamine 1-phosphate,accoa[c] + agala1p[c]  <=> coa[c] + acgal1p[c] ,MCON_2572,-20,20
rn00521 Streptomycin biosynthesis; rn00523 Polyketide sugar unit biosynthesis; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01250 Biosynthesis of nucleotide sugars,dTDP-L-rhamnose + NADP+ <=> dTDP-4-dehydro-beta-L-rhamnose + NADPH + H+,nadp[c] + dtdprmn[c]  <=> nadph[c] + h[c] + dtdprham[c] ,MCON_2591,-20,20
rn00521 Streptomycin biosynthesis; rn00523 Polyketide sugar unit biosynthesis; rn00541 O-Antigen nucleotide sugar biosynthesis; rn01110 Biosynthesis of secondary metabolites; rn01250 Biosynthesis of nucleotide sugars,dTDP-4-oxo-6-deoxy-D-glucose <=> dTDP-4-dehydro-beta-L-rhamnose,dtdp4d6dg[c]  <=> dtdprham[c] ,MCON_0485 | MCON_2590,-20,20
rn00521 Streptomycin biosynthesis; rn00562 Inositol phosphate metabolism; rn01110 Biosynthesis of secondary metabolites,1D-myo-Inositol 3-phosphate + H2O <=> myo-Inositol + Orthophosphate,h2o[c] + mi3p_D[c]  <=> pi[c] + inost[c] ,MCON_2071,-20,20
rn00521 Streptomycin biosynthesis; rn00562 Inositol phosphate metabolism; rn01110 Biosynthesis of secondary metabolites,D-Glucose 6-phosphate <=> 1D-myo-Inositol 3-phosphate,g6p[c]  <=> mi3p_D[c] ,MCON_0025,-20,20
rn00562 Inositol phosphate metabolism,Inositol 1-phosphate + H2O <=> myo-Inositol + Orthophosphate,h2o[c] + mi1p_D  <=> pi[c] + inost[c] ,MCON_2071,-20,20
rn00562 Inositol phosphate metabolism,myo-Inositol 4-phosphate + H2O <=> myo-Inositol + Orthophosphate,h2o[c] + mi4p_D[c]  <=> pi[c] + inost[c] ,MCON_2071,-20,20
rn00564 Glycerophospholipid metabolism,sn-Glycero-3-phosphocholine + H2O <=> Choline + sn-Glycerol 3-phosphate,h2o[c] + g3pc[c]  <=> glyc3p[c] + chol[c] ,MCON_0572,-20,20
rn00564 Glycerophospholipid metabolism,sn-Glycero-3-phosphoethanolamine + H2O <=> Ethanolamine + sn-Glycerol 3-phosphate,h2o[c] + g3pe[c]  <=> glyc3p[c] + etha[c] ,MCON_0572,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,Geranylgeranyl diphosphate + sn-Glycerol 1-phosphate <=> Diphosphate + 3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate,grdp[c] + lglyc1p[c]  <=> ppi[c] + 3ogerasnglyc1p[c] ,MCON_1916,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,"Geranylgeranyl diphosphate + 3-(O-Geranylgeranyl)-sn-glycerol 1-phosphate <=> Diphosphate + 2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate",grdp[c] + 3ogerasnglyc1p[c]  <=> ppi[c] + 23dgerasnglyc1p[c] ,MCON_0147,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,sn-Glycerol 1-phosphate + NAD+ <=> Glycerone phosphate + NADH + H+,nad[c] + lglyc1p[c]  <=> nadh[c] + h[c] + dhap[c] ,MCON_1056,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,sn-Glycerol 1-phosphate + NADP+ <=> Glycerone phosphate + NADPH + H+,nadp[c] + lglyc1p[c]  <=> nadph[c] + h[c] + dhap[c] ,MCON_1056,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,"CTP + 2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate <=> Diphosphate + CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol",ctp[c] + 23dgerasnglyc1p[c]  <=> ppi[c] + cdgggp[c] ,MCON_1076,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,"CDP-2,3-bis-(O-geranylgeranyl)-sn-glycerol + L-Serine <=> CMP + 2,3-Bis-(O-geranylgeranyl)-sn-glycero-1-phospho-L-serine",ser_L[c] + cdgggp[c]  <=> cmp[c] + 23bisogerasnglyc1pser_l[c] ,MCON_0461,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,"2,3-Bis-(O-phytanyl)-sn-glycerol 1-phosphate + 8 NAD+ <=> 2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate + 8 NADH + 8 H+",8 nad[c] + 23bisophytsnglyc1p[c]  <=> 8 nadh[c] + 8 h[c] + 23dgerasnglyc1p[c] ,MCON_3296 | MCON_1147 | MCON_3250,-20,20
rn00564 Glycerophospholipid metabolism; rn01110 Biosynthesis of secondary metabolites,"2,3-Bis-(O-phytanyl)-sn-glycerol 1-phosphate + 8 NADP+ <=> 2,3-Bis-(O-geranylgeranyl)-sn-glycerol 1-phosphate + 8 NADPH + 8 H+",8 nadp[c] + 23bisophytsnglyc1p[c]  <=> 8 nadph[c] + 8 h[c] + 23dgerasnglyc1p[c] ,MCON_3296 | MCON_1147 | MCON_3250,-20,20
rn00620 Pyruvate metabolism,Oxaloacetate <=> Pyruvate + CO2,oaa[c]  <=> co2[c] + pyr[c] ,MCON_1918,-20,20
rn00620 Pyruvate metabolism,Acetyl adenylate + CoA <=> AMP + Acetyl-CoA,coa[c] + HC01672[c]  <=> amp[c] + accoa[c] ,MCON_0780 | MCON_0556 | MCON_0558 | MCON_0559 | MCON_0561 | MCON_2868,-20,20
rn00620 Pyruvate metabolism,ATP + Acetate <=> Diphosphate + Acetyl adenylate,atp[c] + ac[c]  <=> ppi[c] + HC01672[c] ,MCON_0780 | MCON_0556 | MCON_0558 | MCON_0559 | MCON_0561 | MCON_2868,-20,20
rn00620 Pyruvate metabolism,Acetyl phosphate + H2O <=> Acetate + Orthophosphate,h2o[c] + actp[c]  <=> pi[c] + ac[c] ,MCON_0840 | MCON_3294,-20,20
rn00620 Pyruvate metabolism,(S)-Lactate <=> (R)-Lactate,lac_L[c]  <=> lac_D[c] ,MCON_0092,-20,20
rn00620 Pyruvate metabolism,(R)-S-Lactoylglutathione + H2O <=> Glutathione + (R)-Lactate,h2o[c] + lgt_S[c]  <=> gthox[c] + lac_D[c] ,MCON_1612 | MCON_0109 | MCON_3079,-20,20
rn00627 Aminobenzoate degradation,Benzoyl phosphate + H2O <=> Benzoate + Orthophosphate,h2o[c] + bzp[c]  <=> pi[c] + bz[c] ,MCON_0840 | MCON_3294,-20,20
rn00627 Aminobenzoate degradation,4-Nitrophenyl phosphate + H2O <=> 4-Nitrophenol + Orthophosphate,h2o[c] + HC01104[c]  <=> pi[c] + 4nph[c] ,MCON_2339,-20,20
rn00630 Glyoxylate and dicarboxylate metabolism,meso-Tartaric acid + NAD+ <=> 2-Hydroxy-3-oxosuccinate + NADH + H+,nad[c] + tartr_M[c]  <=> nadh[c] + h[c] + oxglyc[c] ,MCON_1272,-20,20
rn00630 Glyoxylate and dicarboxylate metabolism,"(R,R)-Tartaric acid + NAD+ <=> 2-Hydroxy-3-oxosuccinate + NADH + H+",nad[c] +   <=> nadh[c] + h[c] + oxglyc[c] ,MCON_1272,-20,20
rn00630 Glyoxylate and dicarboxylate metabolism; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism,2 Hydrogen peroxide <=> Oxygen + 2 H2O,2 h2o2[c]  <=> 2 h2o[c] + o2[c] ,MCON_0161,-20,20
rn00630 Glyoxylate and dicarboxylate metabolism; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism,2-Phosphoglycolate + H2O <=> Glycolate + Orthophosphate,h2o[c] + 2pglyc[c]  <=> pi[c] + glyclt[c] ,MCON_3141,-20,20
rn00630 Glyoxylate and dicarboxylate metabolism; rn01110 Biosynthesis of secondary metabolites; rn01200 Carbon metabolism,"D-Ribulose 1,5-bisphosphate + Oxygen <=> 3-Phospho-D-glycerate + 2-Phosphoglycolate",o2[c] + rb15bp[c]  <=> 3pg[c] + 2pglyc[c] ,MCON_3086,-20,20
rn00640 Propanoate metabolism,Propionyladenylate + CoA <=> AMP + Propanoyl-CoA,coa[c] + HC01668[c]  <=> amp[c] + ppcoa[c] ,MCON_0780 | MCON_0556 | MCON_0558 | MCON_0559 | MCON_0561 | MCON_2868,-20,20
rn00640 Propanoate metabolism,ATP + Propanoate <=> Diphosphate + Propionyladenylate,atp[c] +   <=> ppi[c] + HC01668[c] ,MCON_0780 | MCON_0556 | MCON_0558 | MCON_0559 | MCON_0561 | MCON_2868,-20,20
rn00670 One carbon pool by folate; rn00720 Other carbon fixation pathways; rn01200 Carbon metabolism; rn01240 Biosynthesis of cofactors,"5,10-Methylenetetrahydrofolate + NADP+ <=> 5,10-Methenyltetrahydrofolate + NADPH",nadp[c] + mlthf[c]  <=> nadph[c] + mrthf[c] ,MCON_0224,-20,20
rn00670 One carbon pool by folate; rn00720 Other carbon fixation pathways; rn01200 Carbon metabolism; rn01240 Biosynthesis of cofactors,"5,10-Methenyltetrahydrofolate + H2O <=> 10-Formyltetrahydrofolate + H+",h2o[c] + mrthf[c]  <=> h[c] + 10fthf[c] ,MCON_0224,-20,20
rn00680 Methane metabolism,Coenzyme F420 + Hydrogen <=> Reduced coenzyme F420,h2[c] + coF420[c]  <=> coF420h[c] ,MCON_2320,-20,20
rn00680 Methane metabolism,"L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O",ser_L[c] + h4mpt[c]  <=> h2o[c] + gly[c] + mtethnpn[c] ,MCON_0223,-20,20
rn00680 Methane metabolism,Phosphoenolpyruvate + GTP <=> Enolpyruvoyl-2-diphospho-5'-guanosine + Diphosphate,gtp[c] + pep[c]  <=> ppi[c] + enol2dp5gsn[c] ,MCON_0918,-20,20
rn00680 Methane metabolism,"Enolpyruvoyl-2-diphospho-5'-guanosine + 7,8-Didemethyl-8-hydroxy-5-deazariboflavin <=> GMP + Dehydro coenzyme F420-0",ddhrb[c] + enol2dp5gsn[c]  <=> gmp[c] + dcof2400[c] ,MCON_1062,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"Formylmethanofuran + 5,6,7,8-Tetrahydromethanopterin <=> Methanofuran + 5-Formyl-5,6,7,8-tetrahydromethanopterin",fmfur[c] + h4mpt[c]  <=> mfur[c] + 5fh4mpt[c] ,MCON_1472,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"5,10-Methenyltetrahydromethanopterin + H2O <=> 5-Formyl-5,6,7,8-tetrahydromethanopterin + H+",h2o[c] + mtth4mpt[c]  <=> h[c] + 5fh4mpt[c] ,MCON_1290,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme M + 2 Sodium cation(side 1) <=> 5,6,7,8-Tetrahydromethanopterin + 2-(Methylthio)ethanesulfonate + 2 Sodium cation(side 2)",2  + com[c] + mh4mpt[c]  <=> h4mpt[c] + 2  + mcom[c] ,MCON_1069 | MCON_1070 | MCON_1068 | MCON_1071 | MCON_1072 | MCON_1073 | MCON_1074 | MCON_1075 | MCON_2872 | MCON_2873,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"5,10-Methylenetetrahydromethanopterin + Coenzyme F420 + H+ <=> 5,10-Methenyltetrahydromethanopterin + Reduced coenzyme F420",h[c] + coF420[c] + mtethnpn[c]  <=> coF420h[c] + mtth4mpt[c] ,MCON_1052,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"5,10-Methylenetetrahydromethanopterin + Reduced coenzyme F420 <=> 5-Methyl-5,6,7,8-tetrahydromethanopterin + Coenzyme F420",coF420h[c] + mtethnpn[c]  <=> coF420[c] + mh4mpt[c] ,MCON_2394,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Dihydromethanophenazine <=> Coenzyme B + Coenzyme M + Methanophenazine,coms[c] + dhmphze[c]  <=> com[c] + cob[c] + mphze[c] ,MCON_3442 | MCON_3441,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,Coenzyme B + 2-(Methylthio)ethanesulfonate <=> Coenzyme M 7-mercaptoheptanoylthreonine-phosphate heterodisulfide + Methane,mcom[c] + cob[c]  <=> ch4[c] + coms[c] ,MCON_0759 | MCON_0760 | MCON_0762,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,"5,6,7,8-Tetrahydromethanopterin + Formaldehyde <=> 5,10-Methylenetetrahydromethanopterin + H2O",fald[c] + h4mpt[c]  <=> h2o[c] + mtethnpn[c] ,MCON_1033 | MCON_1383,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,Formylmethanofuran + H2O <=> Formate + Methanofuran,h2o[c] + fmfur[c]  <=> for[c] + mfur[c] ,MCON_0238 | MCON_0239 | MCON_0240 | MCON_0241 | MCON_1733 | MCON_1734 | MCON_2898 | MCON_2129,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,Formate + Coenzyme F420 <=> CO2 + Reduced coenzyme F420,for[c] + coF420[c]  <=> co2[c] + coF420h[c] ,MCON_2237,-20,20
rn00680 Methane metabolism; rn01200 Carbon metabolism,5-Methyl-H4SPT + Coenzyme M + 2 Sodium cation(side 1) <=> Tetrahydrosarcinapterin + 2-(Methylthio)ethanesulfonate + 2 Sodium cation(side 2),2 na1 + com[c] + mh4spt[c]  <=> 2 Na + mcom[c] + h4spt[c] ,MCON_1069 | MCON_1070 | MCON_1068 | MCON_1071 | MCON_1072 | MCON_1073 | MCON_1074 | MCON_1075 | MCON_2872 | MCON_2873,-20,20
rn00680 Methane metabolism; rn01210 2-Oxocarboxylic acid metabolism,(R)-(Homo)2-citrate <=> cis-(Homo)2-aconitate + H2O,Rh2cit[c]  <=> h2o[c] + h2acon_C[c] ,MCON_0444 | MCON_1922,-20,20
rn00680 Methane metabolism; rn01210 2-Oxocarboxylic acid metabolism,cis-(Homo)2-aconitate + H2O <=> (-)-threo-Iso(homo)2-citrate,h2o[c] + h2acon_C[c]  <=> tih2cit[c] ,MCON_0444 | MCON_1922,-20,20
rn00680 Methane metabolism; rn01210 2-Oxocarboxylic acid metabolism,(R)-(Homo)3-citrate <=> cis-(Homo)3-aconitate + H2O,Rh3cit[c]  <=> h2o[c] + h3acon_C[c] ,MCON_0444 | MCON_1922,-20,20
rn00680 Methane metabolism; rn01210 2-Oxocarboxylic acid metabolism,cis-(Homo)3-aconitate + H2O <=> (-)-threo-Iso(homo)3-citrate,h2o[c] + h3acon_C[c]  <=> tih3cit[c] ,MCON_0444 | MCON_1922,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,3-Sulfopyruvate <=> Sulfoacetaldehyde + CO2,3spyr[c]  <=> co2[c] + sacald[c] ,MCON_2819 | MCON_2821,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,(2S)-2-Phospholactate + GTP <=> (2S)-Lactyl-2-diphospho-5'-guanosine + Diphosphate,gtp[c] + 2plac_L[c]  <=> ppi[c] + lppg[c] ,MCON_0918,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,"7,8-Didemethyl-8-hydroxy-5-deazariboflavin + (2S)-Lactyl-2-diphospho-5'-guanosine <=> Coenzyme F420-0 + GMP",ddhrb[c] + lppg[c]  <=> gmp[c] + f420_0[c] ,MCON_1062,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,Coenzyme F420-0 + GTP + L-Glutamate <=> Coenzyme F420-1 + GDP + Orthophosphate,glu_L[c] + gtp[c] + f420_0[c]  <=> pi[c] + gdp[c] + f420_1[c] ,MCON_0919,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,Coenzyme F420-1 + GTP + L-Glutamate <=> Coenzyme F420 + GDP + Orthophosphate,glu_L[c] + gtp[c] + f420_1[c]  <=> pi[c] + gdp[c] + coF420[c] ,MCON_0919,-20,20
rn00680 Methane metabolism; rn01240 Biosynthesis of cofactors,ATP + Tyramine + L-Glutamate <=> ADP + Orthophosphate + gamma-Glutamyltyramine,atp[c] + glu_L[c] + tym[c]  <=> adp[c] + pi[c] + ggluttym[c] ,MCON_1686,-20,20
